ORGANIZATION,ORGANIZATION OTHER,TYPE_CLEANUP,TYPE_CLEANUP_OTHER,ADOPT-A-ROAD,TYPE_LITTER,TYPE_LITTER_OTHER 1,NUMBER_BAGS,NUMBER_BAGS_OTHER,TOTAL_BAGS_LITTER,COUNT_TIRES,COUNT_TIRES_OTHER,TOTAL_TIRES,MAJOR_WSHED,ALTBMP_TYPE,LBS_REMOVED,IMPL_COMP_YR,PERMIT_NUM,COUNCIL_DISTRICT,DPWT_MAIN_DIST,FORMEMAILED,FISCALYEAR,CREATIONDATE 1,CREATIONDATE_TIME,CREATIONDATE_AM/PM,LATITUDE,LONGITUDE,LOCATION
DPW&T,,RoadsideLitterPickup,,,Bags_garbage,,6,,6,,,0,Anacostia River,TRSH,,2017,11-DP-3314,1,1,NO,FY2017,03/10/2017,07:04:00,PM,-76.90392467,39.04100209,"(-76.90392467, 39.04100209)"
DPW&T,,Other,,,Bags_garbage,,2,,2,,,0,Potomac River U tidal,TRSH,,2017,11-DP-3314,7,2,NO,FY2017,05/08/2017,06:52:00,PM,-76.9083956,38.8424564,"(-76.9083956, 38.8424564)"
CommunityBridge,,RoadsideLitterPickup,,,Yardwaste,,,,0,,,0,Piscataway Creek,TRSH,,2017,11-DP-3314,9,3,NO,FY2018,12/05/2017,03:04:00,PM,-76.8722762,38.7484427,"(-76.8722762, 38.7484427)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,1,,1,,,0,Anacostia River,TRSH,,2017,11-DP-3314,3,1,NO,FY2018,07/17/2017,03:08:00,PM,-76.92082249,38.958949,"(-76.92082249, 38.958949)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Western Branch,TRSH,,2018,11-DP-3314,6,2,NO,FY2018,02/20/2018,07:30:00,PM,-76.85192019,38.89203069,"(-76.85192019, 38.89203069)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,3,,3,,,0,Piscataway Creek,TRSH,,2018,11-DP-3314,9,2,,FY2019,07/12/2018,02:44:00,PM,-76.86782516,38.77642255,"(-76.86782516, 38.77642255)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Anacostia River,TRSH,,2018,11-DP-3314,3,1,,FY2019,09/18/2018,02:23:00,PM,-76.90256126,38.96175501,"(-76.90256126, 38.96175501)"
CommunityBridge,,RoadsideLitterPickup,,,Furniture,,,,0,,,0,Western Branch,TRSH,,2018,11-DP-3314,6,2,,FY2019,10/04/2018,02:59:00,PM,-76.8579821,38.87752612,"(-76.8579821, 38.87752612)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,4,,4,,,0,Patuxent River middle,TRSH,,2018,11-DP-3314,9,3,,FY2019,11/19/2018,07:51:00,PM,-76.78814455,38.71079961,"(-76.78814455, 38.71079961)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Western Branch,TRSH,,2019,11-DP-3314,6,2,,FY2020,07/17/2019,01:26:00,PM,-76.88125646,38.8746487,"(-76.88125646, 38.8746487)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Piscataway Creek,TRSH,,2019,11-DP-3314,8,2,,FY2020,09/05/2019,01:43:00,PM,-76.93774818,38.78866136,"(-76.93774818, 38.78866136)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,1,,1,,,0,Western Branch,TRSH,,2018,11-DP-3314,6,2,NO,FY2018,02/27/2018,07:17:00,PM,-76.7863409,38.8960068,"(-76.7863409, 38.8960068)"
DPW&T,,Other,,,Bags_garbage,,2,,2,,,0,Potomac River U tidal,TRSH,,2017,11-DP-3314,7,2,NO,FY2017,05/08/2017,05:10:00,PM,-76.9048155,38.8543531,"(-76.9048155, 38.8543531)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,1,,1,,,0,Potomac River U tidal,TRSH,,2017,11-DP-3314,8,2,NO,FY2017,06/30/2017,03:57:00,PM,-76.96060429,38.77777495,"(-76.96060429, 38.77777495)"
DPW&T,,CleanUpGreenUp,,,Other,piano back,,,0,,,0,Anacostia River,TRSH,,2016,11-DP-3314,8,2,NO,FY2017,11/01/2016,02:19:00,PM,-76.9163685,38.98926974,"(-76.9163685, 38.98926974)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Potomac River U tidal,TRSH,,2019,11-DP-3314,8,2,,FY2020,08/14/2019,01:26:00,PM,-76.90039648,38.83357552,"(-76.90039648, 38.83357552)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Potomac River U tidal,TRSH,,2019,11-DP-3314,7,2,,FY2020,09/04/2019,01:00:00,PM,-76.91963288,38.85177977,"(-76.91963288, 38.85177977)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Western Branch,TRSH,,2019,11-DP-3314,6,2,,FY2020,08/26/2019,01:21:00,PM,-76.87375963,38.84565194,"(-76.87375963, 38.84565194)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,4,,4,,,0,Piscataway Creek,TRSH,,2018,11-DP-3314,9,3,NO,FY2018,03/01/2018,02:56:00,PM,-76.92418256,38.70259531,"(-76.92418256, 38.70259531)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,2,,2,,,0,Western Branch,TRSH,,2018,11-DP-3314,6,2,,FY2019,08/23/2018,01:08:00,PM,-76.85313405,38.91284115,"(-76.85313405, 38.91284115)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Piscataway Creek,TRSH,,2019,11-DP-3314,8,2,,FY2020,08/15/2019,01:38:00,PM,-76.93749147,38.78890746,"(-76.93749147, 38.78890746)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Western Branch,TRSH,,2017,11-DP-3314,6,2,NO,FY2018,10/03/2017,11:50:00,AM,-76.85907337,38.85931902,"(-76.85907337, 38.85931902)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,1,,1,,,0,Mattawoman Creek,TRSH,,2017,11-DP-3314,9,3,NO,FY2018,07/26/2017,02:06:00,PM,-76.85284833,38.70993861,"(-76.85284833, 38.70993861)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Potomac River U tidal,TRSH,,2019,11-DP-3314,7,2,,FY2020,08/19/2019,03:02:00,PM,-76.90552326,38.85443896,"(-76.90552326, 38.85443896)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,2,,2,,,0,Oxon Creek,TRSH,,2019,11-DP-3314,8,1,,FY2020,08/26/2019,05:33:00,PM,-77.00142608,38.8186717,"(-77.00142608, 38.8186717)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Anacostia River,TRSH,,2017,11-DP-3314,5,2,NO,FY2018,07/17/2017,02:02:00,PM,-76.868693,38.9230156,"(-76.868693, 38.9230156)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,4,,4,,,0,Anacostia River,TRSH,,2018,11-DP-3314,1,1,,FY2019,07/02/2018,04:38:00,PM,-76.89924211,39.03196014,"(-76.89924211, 39.03196014)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,3,,3,,,0,Piscataway Creek,TRSH,,2018,11-DP-3314,9,2,,FY2018,05/09/2018,03:36:00,PM,-76.89358938,38.78172766,"(-76.89358938, 38.78172766)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Western Branch,TRSH,,2019,11-DP-3314,6,2,,FY2020,09/25/2019,02:18:00,PM,-76.86546853,38.88944643,"(-76.86546853, 38.88944643)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,4,,4,,,0,Potomac River U tidal,TRSH,,2019,11-DP-3314,7,2,,FY2019,01/10/2019,04:22:00,PM,-76.91849428,38.84731043,"(-76.91849428, 38.84731043)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,1,,1,,,0,Patuxent River lower,TRSH,,2019,11-DP-3314,9,3,,FY2019,04/24/2019,04:23:00,PM,-76.7243486,38.58501595,"(-76.7243486, 38.58501595)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,2,,2,,,0,Anacostia River,TRSH,,2018,11-DP-3314,3,1,NO,FY2018,01/07/2018,04:01:00,PM,-76.86794195,38.9799259,"(-76.86794195, 38.9799259)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,1,,1,,,0,Western Branch,TRSH,,2017,11-DP-3314,6,2,NO,FY2018,11/29/2017,03:04:00,PM,-76.8460882,38.915096,"(-76.8460882, 38.915096)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,Other,16,16,,,0,Potomac River U tidal,TRSH,,2019,11-DP-3314,8,2,,FY2019,04/16/2019,04:58:00,PM,-76.92126176,38.81839178,"(-76.92126176, 38.81839178)"
